46717,-10160,3972,-12324,-523,-85,78
47218,-10092,4004,-12324,-494,-165,-50
47719,-10208,3904,-12312,-373,-144,-30
48220,-10096,4028,-12264,-351,59,4
48721,-10168,4016,-12216,-419,63,23
49222,-10244,3984,-12372,-413,-3,-16
49723,-10196,4024,-12192,-362,53,71
50224,-10132,3908,-12192,-359,116,78
50725,-10072,3996,-12260,-323,-23,-13
51226,-10336,3984,-12448,-406,252,102
51727,-10228,3972,-12256,-236,-155,-55
52228,-10200,3944,-12248,-218,-156,52
52729,-10244,4116,-12320,-278,278,143
53230,-10248,4116,-12288,-415,-59,-1
53731,-10292,3976,-12336,-308,22,2
54232,-10136,4060,-12196,-461,-68,16
54733,-10244,3928,-12424,-418,-144,-81
55234,-10304,4036,-12356,-394,-191,-67
55735,-10084,3932,-12364,-554,73,-7
56236,-10112,4048,-12224,-504,90,48
56737,-10124,4016,-12304,-346,26,31
57238,-10124,4088,-12400,-346,15,26
57739,-10184,4016,-12236,-330,16,-35
58240,-10220,4024,-12184,-508,24,-65
58741,-10060,4016,-12320,-372,49,13
59242,-10080,4024,-12260,-316,211,85
59743,-10284,4016,-12308,-333,119,24
60244,-10164,4036,-12400,-522,-113,-81
60745,-10080,3912,-12160,-399,-37,23
61246,-10096,3964,-12316,-547,-185,-53
61747,-10176,4000,-12452,-405,50,9
62248,-10152,3996,-12280,-356,26,39
62749,-10100,3984,-12424,-541,-136,-12
63250,-10120,4024,-12376,-367,-49,-3
63751,-10096,4116,-12300,-424,-136,-10
64252,-10112,4004,-12292,-349,4,46
64753,-10148,4036,-12456,-446,-150,-100
65254,-10148,3996,-12296,-396,134,149
65755,-10240,4052,-12256,-409,-59,-19
66256,-10192,3920,-12176,-420,-88,80
66757,-10120,3916,-12332,-409,11,-20
67258,-10180,3988,-12272,-328,-42,46
67759,-10184,3952,-12332,-324,52,38
68260,-10044,3784,-12272,-390,-141,40
68761,-10108,4004,-12340,-337,26,-2
69262,-10112,3972,-12356,-382,-50,-12
69763,-10228,3984,-12268,-367,158,125
70264,-10116,4032,-12244,-461,7,64
70765,-10200,4032,-12344,-412,-236,-69
71266,-10096,3992,-12516,-481,89,-22
71767,-10224,4032,-12344,-478,181,118
72268,-10092,3916,-12288,-505,-102,-57
72769,-10000,4016,-12272,-372,10,106
73270,-10276,3984,-12272,-465,-79,-16
