timestamp,activity,x_gyro,y_gyro,z_gyro,x_accel,y_accel,z_accel
115261,sitting,-8160,3240,-14156,-439,-35,-14
115762,sitting,-8216,3160,-14156,-437,0,8
116263,sitting,-8216,3156,-14076,-435,-13,26
116764,sitting,-8248,3168,-14300,-432,-3,14
117265,sitting,-8208,3228,-14196,-434,-10,9
117766,sitting,-8148,3232,-14172,-434,-22,1
118267,sitting,-8156,3300,-14232,-436,-20,3
118768,sitting,-8184,3224,-14196,-435,13,1
119269,sitting,-8200,3244,-14032,-418,-21,-12
119770,sitting,-8172,3248,-14092,-402,-12,13
120271,sitting,-8252,3140,-14148,-456,-21,1
120772,sitting,-8196,3216,-14092,-404,-28,12
121273,sitting,-8124,3268,-14080,-431,-11,-13
121774,sitting,-8180,3224,-14224,-437,3,-30
122275,sitting,-8152,3272,-14148,-439,-22,4
122776,sitting,-8208,3156,-14096,-450,-2,-12
123277,sitting,-8172,3212,-14140,-441,-35,1
123778,sitting,-8300,3180,-14248,-463,-7,0
124279,sitting,-8096,3252,-14044,-439,4,12
124780,sitting,-8172,3096,-14156,-417,-13,12
125281,sitting,-8140,3236,-14104,-417,-7,15
125782,sitting,-8104,3232,-14104,-422,-23,12
126283,sitting,-8172,3260,-14096,-416,-11,-3
126784,sitting,-8236,3256,-14156,-443,-27,-8
127285,sitting,-8132,3276,-14156,-442,-20,-13
127786,sitting,-8148,3156,-14008,-429,-26,10
128287,sitting,-8164,3240,-14116,-440,-23,0
128788,sitting,-8204,3212,-14180,-429,0,2
129289,sitting,-8164,3168,-14200,-445,-25,11
129790,sitting,-8160,3188,-14072,-440,-21,5
130291,sitting,-8216,3152,-14180,-463,-1,11
130792,sitting,-8184,3200,-14124,-428,-24,0
131293,sitting,-8176,3140,-14252,-429,-6,-4
131794,sitting,-8184,3236,-14120,-436,-20,-2
132295,sitting,-8196,3236,-14104,-427,-41,-4
132796,sitting,-8140,3236,-14236,-432,-14,7
133297,sitting,-8152,3316,-14180,-438,-23,9
133798,sitting,-8220,3104,-14064,-424,-16,8
134299,sitting,-8116,3164,-14052,-412,-34,-14
134800,sitting,-8200,3212,-14172,-416,-4,9
135301,sitting,-8132,3208,-14176,-432,2,-13
135802,sitting,-8180,3220,-14060,-460,-2,-2
136303,sitting,-8212,3192,-14120,-425,-26,-14
136804,sitting,-8192,3164,-14136,-431,-40,-15
137305,sitting,-8168,3188,-14136,-431,-7,16
137806,sitting,-8236,3224,-14156,-417,20,-18
138307,sitting,-8092,3256,-14056,-443,-29,17
138808,sitting,-8204,3156,-14104,-434,-1,24
139309,sitting,-8092,3212,-14064,-452,-19,1
139810,sitting,-8128,3232,-14092,-440,9,-12
140311,sitting,-8268,3176,-14068,-413,-14,8
140812,sitting,-8164,3200,-14112,-435,-28,9
141313,sitting,-8196,3220,-13912,-426,-12,-3
141814,sitting,-8092,3280,-13932,-429,-10,5
142315,sitting,-8140,3192,-14100,-434,10,15
142816,sitting,-8080,3280,-14212,-423,-3,-19
143317,sitting,-8092,3200,-14116,-424,-23,-2
143818,sitting,-8124,3140,-14256,-421,-5,32
144319,sitting,-8132,3252,-14052,-455,-4,26
144820,sitting,-8212,3216,-14192,-453,-14,-17
145321,sitting,-8196,3216,-14060,-437,-3,4
145822,sitting,-8104,3124,-14188,-440,-33,27
146323,sitting,-8204,3296,-14216,-448,-35,1
146824,sitting,-8084,3208,-14136,-438,-23,1
147325,sitting,-8140,3236,-14176,-426,15,-3
147826,sitting,-8164,3124,-14188,-435,-11,24
148327,sitting,-8076,3172,-14168,-447,-19,7
148828,sitting,-8180,3112,-14184,-426,-26,10
149329,sitting,-8192,3156,-14256,-448,-8,-15
149830,sitting,-8096,3140,-14184,-435,6,-13
150331,sitting,-8176,3212,-14172,-415,9,21
150832,sitting,-8216,3112,-14016,-455,-40,-21
151333,sitting,-8164,3276,-14120,-434,-15,-32
151834,sitting,-8144,3232,-14260,-453,-6,-7
152335,sitting,-8284,3140,-14136,-436,-36,27
152836,sitting,-8196,3216,-14180,-427,-26,19
153337,sitting,-8192,3124,-14060,-452,3,-32
153838,sitting,-8256,3172,-14192,-466,-17,20
154339,sitting,-8260,3216,-14136,-423,7,-25
154840,sitting,-8280,3200,-14124,-429,-5,-7
155341,sitting,-8304,3132,-14184,-432,-27,-2
155842,sitting,-8084,3212,-14180,-442,-8,10
156343,sitting,-8256,3260,-14092,-449,8,-17
156844,sitting,-8216,3280,-14160,-440,12,-5
157345,sitting,-8172,3208,-14072,-444,-30,14
157846,sitting,-8204,3240,-14204,-428,-33,-8
158347,sitting,-8144,3196,-14156,-436,4,14
158848,sitting,-8104,3240,-14288,-416,10,4
159349,sitting,-8196,3160,-14156,-437,-21,-13
159850,sitting,-8248,3268,-14092,-445,-16,-10
160351,sitting,-8156,3220,-14072,-471,-21,12
160852,sitting,-8172,3208,-14308,-449,-27,-11
